timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,duration_sec,attack_type,severity,label
2026-06-09 13:05:02,131.88.8.146,10.0.0.20,7310,53,UDP,62845,0.0012,DDoS,Critical,Attack
2026-06-09 13:05:37,110.11.12.160,10.0.0.6,28285,80,UDP,50138,0.0096,DDoS,Critical,Attack
2026-06-09 13:17:34,175.103.245.200,192.168.1.47,51149,3389,TCP,362,0.3526,Brute Force,High,Attack
2026-06-09 13:23:10,200.236.100.70,10.0.0.29,54025,21,TCP,275,1.3363,Brute Force,High,Attack
2026-06-09 13:29:12,79.15.41.166,192.168.1.45,7550,443,TCP,62791,0.0012,DDoS,Critical,Attack
2026-06-09 13:46:25,31.55.110.214,192.168.1.30,13535,80,TCP,801,0.368,SQL Injection,High,Attack
2026-06-09 13:47:36,181.251.112.72,192.168.1.33,54236,443,TCP,1060,0.0915,SQL Injection,High,Attack
2026-06-09 13:49:49,91.199.120.208,10.0.0.19,13524,443,TCP,1495,0.1205,SQL Injection,High,Attack
2026-06-09 13:50:40,79.15.41.166,10.0.0.28,59822,21,TCP,252,0.1317,Brute Force,High,Attack
2026-06-09 14:05:10,25.33.67.55,192.168.1.49,29693,342,TCP,59,0.004,Port Scan,Low,Attack
2026-06-09 14:09:35,175.103.245.200,192.168.1.38,45646,80,TCP,3381,0.0098,DDoS,Critical,Attack
2026-06-09 14:29:09,79.15.41.166,192.168.1.12,21448,53,TCP,63876,0.0061,DDoS,Critical,Attack
2026-06-09 14:31:39,31.55.110.214,192.168.1.52,25582,892,TCP,96,0.0376,Port Scan,Low,Attack
2026-06-09 14:41:39,23.2.103.250,192.168.1.58,58894,3306,TCP,1688,0.1013,SQL Injection,High,Attack
2026-06-09 14:50:18,181.251.112.72,192.168.1.49,11361,1234,TCP,3819,18.0321,Malware C2,Critical,Attack
2026-06-09 14:57:03,25.33.67.55,10.0.0.7,22848,443,UDP,64610,0.0022,DDoS,Critical,Attack
2026-06-09 14:58:47,25.33.67.55,192.168.1.55,60390,22,TCP,278,1.6382,Brute Force,High,Attack
2026-06-09 14:59:46,110.11.12.160,10.0.0.13,33015,3306,TCP,775,0.3408,SQL Injection,High,Attack
2026-06-09 15:08:28,110.11.12.160,10.0.0.1,47462,443,UDP,25883,0.0092,DDoS,Critical,Attack
2026-06-09 15:13:52,159.190.8.211,10.0.0.20,42576,443,UDP,3716,0.0049,DDoS,Critical,Attack
2026-06-09 15:22:49,49.158.14.52,192.168.1.36,26976,360,TCP,47,0.0419,Port Scan,Low,Attack
2026-06-09 15:25:04,159.190.8.211,10.0.0.24,13633,1234,TCP,3030,15.3548,Malware C2,Critical,Attack
2026-06-09 15:25:17,140.18.101.214,10.0.0.25,43663,443,UDP,16981,0.005,DDoS,Critical,Attack
2026-06-09 15:38:32,131.88.8.146,10.0.0.6,53077,443,TCP,1448,0.2143,SQL Injection,High,Attack
2026-06-09 15:45:55,110.11.12.160,10.0.0.6,11106,963,TCP,80,0.003,Port Scan,Low,Attack
2026-06-09 15:48:14,180.182.144.41,192.168.1.38,62052,3306,TCP,1643,0.4293,SQL Injection,High,Attack
2026-06-09 15:52:21,31.55.110.214,192.168.1.12,51926,6666,TCP,2514,15.1351,Malware C2,Critical,Attack
2026-06-09 16:02:43,175.103.245.200,192.168.1.23,5912,53,UDP,40366,0.0083,DDoS,Critical,Attack
2026-06-09 16:03:53,23.2.103.250,192.168.1.58,57363,443,TCP,1279,0.4755,SQL Injection,High,Attack
2026-06-09 16:06:10,91.199.120.208,192.168.1.43,29458,6666,TCP,3914,1.3308,Malware C2,Critical,Attack
2026-06-09 16:12:31,79.15.41.166,192.168.1.47,9990,21,TCP,393,1.6999,Brute Force,High,Attack
2026-06-09 16:17:59,180.182.144.41,192.168.1.52,65006,4444,TCP,3654,1.5926,Malware C2,Critical,Attack
2026-06-09 16:19:44,200.236.100.70,192.168.1.34,54568,6666,TCP,1201,28.5385,Malware C2,Critical,Attack
2026-06-09 16:23:40,140.18.101.214,10.0.0.16,32671,23,TCP,349,0.9906,Brute Force,High,Attack
2026-06-09 16:24:08,49.158.14.52,10.0.0.4,27887,404,TCP,96,0.0029,Port Scan,Low,Attack
2026-06-09 16:26:11,175.103.245.200,192.168.1.13,57132,71,TCP,77,0.0407,Port Scan,Low,Attack
2026-06-09 16:33:30,181.251.112.72,192.168.1.18,31233,664,UDP,66,0.0143,Port Scan,Low,Attack
2026-06-09 16:37:59,140.18.101.214,192.168.1.16,33936,443,TCP,411,0.1333,SQL Injection,High,Attack
2026-06-09 16:44:21,79.15.41.166,192.168.1.49,17319,80,UDP,2204,0.01,DDoS,Critical,Attack
2026-06-09 16:53:33,175.103.245.200,192.168.1.31,5729,22,TCP,407,1.1726,Brute Force,High,Attack
2026-06-09 16:54:30,79.15.41.166,192.168.1.15,25773,443,TCP,24195,0.0078,DDoS,Critical,Attack
2026-06-09 17:02:56,49.158.14.52,10.0.0.28,55897,443,UDP,60899,0.0064,DDoS,Critical,Attack
2026-06-09 17:10:26,140.18.101.214,10.0.0.28,31049,3306,TCP,951,0.2653,SQL Injection,High,Attack
2026-06-09 17:14:40,91.199.120.208,192.168.1.33,21926,5432,TCP,1109,0.2373,SQL Injection,High,Attack
2026-06-09 17:16:04,175.103.245.200,10.0.0.20,20457,103,UDP,77,0.0142,Port Scan,Low,Attack
2026-06-09 17:34:29,31.55.110.214,192.168.1.39,5694,80,TCP,7614,0.0043,DDoS,Critical,Attack
2026-06-09 17:35:59,140.18.101.214,10.0.0.18,30927,8080,TCP,2466,19.1221,Malware C2,Critical,Attack
2026-06-09 17:39:46,25.33.67.55,10.0.0.25,29690,80,UDP,3680,0.0065,DDoS,Critical,Attack
2026-06-09 17:45:06,49.158.14.52,192.168.1.56,45225,156,TCP,76,0.0473,Port Scan,Low,Attack
2026-06-09 17:53:35,180.182.144.41,192.168.1.57,46319,3306,TCP,919,0.3776,SQL Injection,High,Attack
2026-06-09 17:54:55,159.190.8.211,10.0.0.3,4009,443,TCP,32750,0.0041,DDoS,Critical,Attack
2026-06-09 17:57:13,31.55.110.214,10.0.0.6,30024,23,TCP,350,0.3409,Brute Force,High,Attack
2026-06-09 18:02:33,175.103.245.200,192.168.1.45,11212,934,UDP,93,0.0137,Port Scan,Low,Attack
2026-06-09 18:04:36,140.18.101.214,192.168.1.48,6083,105,UDP,82,0.0129,Port Scan,Low,Attack
2026-06-09 18:11:03,25.33.67.55,192.168.1.49,49789,443,TCP,765,0.0934,SQL Injection,High,Attack
2026-06-09 18:17:04,79.15.41.166,192.168.1.31,55106,416,UDP,72,0.0145,Port Scan,Low,Attack
2026-06-09 18:37:54,175.103.245.200,192.168.1.27,65197,6666,TCP,2203,4.4169,Malware C2,Critical,Attack
2026-06-09 18:40:23,76.188.62.46,10.0.0.17,42399,3306,TCP,1613,0.3411,SQL Injection,High,Attack
2026-06-09 18:43:07,79.15.41.166,10.0.0.9,60972,3306,TCP,1921,0.4834,SQL Injection,High,Attack
2026-06-09 18:44:38,79.15.41.166,192.168.1.20,36267,34,TCP,119,0.0159,Port Scan,Low,Attack
2026-06-09 18:45:25,91.199.120.208,10.0.0.6,55349,21,TCP,481,1.9862,Brute Force,High,Attack
2026-06-09 19:01:02,91.199.120.208,192.168.1.24,32511,458,UDP,46,0.0426,Port Scan,Low,Attack
2026-06-09 19:11:51,91.199.120.208,10.0.0.20,40875,80,TCP,1102,0.1948,SQL Injection,High,Attack
2026-06-09 19:14:40,23.2.103.250,192.168.1.30,24672,22,TCP,570,1.7861,Brute Force,High,Attack
2026-06-09 19:22:17,91.199.120.208,192.168.1.57,16107,8080,TCP,1788,2.594,Malware C2,Critical,Attack
2026-06-09 19:23:31,31.55.110.214,192.168.1.54,61393,8080,TCP,2728,26.495,Malware C2,Critical,Attack
2026-06-09 19:38:18,131.88.8.146,192.168.1.47,1357,880,UDP,54,0.0421,Port Scan,Low,Attack
2026-06-09 19:44:26,25.33.67.55,192.168.1.29,30336,5432,TCP,923,0.4658,SQL Injection,High,Attack
2026-06-09 19:47:16,175.103.245.200,10.0.0.17,37227,23,TCP,394,0.1834,Brute Force,High,Attack
2026-06-09 19:48:12,159.190.8.211,192.168.1.36,46318,5432,TCP,1077,0.0765,SQL Injection,High,Attack
2026-06-09 19:48:26,76.188.62.46,192.168.1.20,32080,443,TCP,52153,0.0015,DDoS,Critical,Attack
2026-06-09 19:53:08,175.103.245.200,192.168.1.29,15446,443,TCP,1242,0.3762,SQL Injection,High,Attack
2026-06-09 20:08:30,23.2.103.250,192.168.1.43,14335,80,TCP,35166,0.0087,DDoS,Critical,Attack
2026-06-09 20:16:12,200.236.100.70,192.168.1.55,51294,861,TCP,91,0.0364,Port Scan,Low,Attack
2026-06-09 20:22:30,200.236.100.70,10.0.0.16,10301,6666,TCP,2763,15.9176,Malware C2,Critical,Attack
2026-06-09 20:25:34,79.15.41.166,10.0.0.14,56471,80,UDP,7451,0.0028,DDoS,Critical,Attack
2026-06-09 20:34:52,76.188.62.46,10.0.0.4,47140,1000,TCP,77,0.0137,Port Scan,Low,Attack
2026-06-09 20:44:12,175.103.245.200,10.0.0.21,22947,21,TCP,291,1.5116,Brute Force,High,Attack
2026-06-09 20:45:59,110.11.12.160,192.168.1.18,12991,1234,TCP,3947,6.7391,Malware C2,Critical,Attack
2026-06-09 20:48:10,140.18.101.214,10.0.0.2,39437,5432,TCP,542,0.0712,SQL Injection,High,Attack
2026-06-09 20:59:45,76.188.62.46,192.168.1.45,16910,862,UDP,77,0.0244,Port Scan,Low,Attack
