timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,duration_sec,attack_type,severity,label
2026-06-09 13:05:02,131.88.8.146,10.0.0.20,7310,53,UDP,62845,0.0012,DDoS,Critical,Attack
2026-06-09 13:05:11,10.0.0.24,218.79.95.111,15412,80,TCP,1238,3.1974,Normal,None,Normal
2026-06-09 13:05:37,110.11.12.160,10.0.0.6,28285,80,UDP,50138,0.0096,DDoS,Critical,Attack
2026-06-09 13:07:21,192.168.1.28,206.63.157.168,41366,53,UDP,8904,1.5284,Normal,None,Normal
2026-06-09 13:10:07,10.0.0.15,187.37.88.84,46682,22,UDP,8959,2.0606,Normal,None,Normal
2026-06-09 13:14:09,192.168.1.46,215.45.147.18,37089,3306,UDP,11300,3.7959,Normal,None,Normal
2026-06-09 13:17:34,175.103.245.200,192.168.1.47,51149,3389,TCP,362,0.3526,Brute Force,High,Attack
2026-06-09 13:23:10,200.236.100.70,10.0.0.29,54025,21,TCP,275,1.3363,Brute Force,High,Attack
2026-06-09 13:23:51,192.168.1.29,187.139.68.236,33844,143,TCP,751,2.7013,Normal,None,Normal
2026-06-09 13:24:56,192.168.1.27,197.172.156.11,36725,143,UDP,6682,1.6002,Normal,None,Normal
2026-06-09 13:25:44,192.168.1.37,150.190.170.160,33566,110,TCP,12966,3.5033,Normal,None,Normal
2026-06-09 13:29:12,79.15.41.166,192.168.1.45,7550,443,TCP,62791,0.0012,DDoS,Critical,Attack
2026-06-09 13:31:28,10.0.0.29,92.11.52.107,44564,110,TCP,9549,2.1412,Normal,None,Normal
2026-06-09 13:31:56,10.0.0.29,187.104.184.160,33788,143,TCP,10777,1.2274,Normal,None,Normal
2026-06-09 13:33:28,192.168.1.49,151.182.8.50,28791,80,TCP,14079,2.0019,Normal,None,Normal
2026-06-09 13:42:31,192.168.1.53,214.179.68.213,47036,110,UDP,9173,2.6577,Normal,None,Normal
2026-06-09 13:43:28,192.168.1.58,159.122.165.60,12226,5432,TCP,1582,3.3287,Normal,None,Normal
2026-06-09 13:46:25,31.55.110.214,192.168.1.30,13535,80,TCP,801,0.368,SQL Injection,High,Attack
2026-06-09 13:47:36,181.251.112.72,192.168.1.33,54236,443,TCP,1060,0.0915,SQL Injection,High,Attack
2026-06-09 13:49:49,91.199.120.208,10.0.0.19,13524,443,TCP,1495,0.1205,SQL Injection,High,Attack
2026-06-09 13:50:26,192.168.1.12,202.12.46.5,42165,443,UDP,9501,3.7895,Normal,None,Normal
2026-06-09 13:50:40,79.15.41.166,10.0.0.28,59822,21,TCP,252,0.1317,Brute Force,High,Attack
2026-06-09 13:50:53,10.0.0.3,137.40.118.206,19905,3306,UDP,4971,0.2599,Normal,None,Normal
2026-06-09 13:53:22,192.168.1.36,97.254.51.126,14546,443,TCP,6972,0.6241,Normal,None,Normal
2026-06-09 13:53:58,10.0.0.2,196.15.75.59,30046,3306,TCP,1787,1.4303,Normal,None,Normal
2026-06-09 13:56:38,192.168.1.45,155.150.136.64,29100,110,TCP,714,4.4036,Normal,None,Normal
2026-06-09 13:57:29,192.168.1.51,135.53.208.74,18899,110,UDP,9405,0.816,Normal,None,Normal
2026-06-09 13:58:49,192.168.1.51,115.3.111.29,53948,80,UDP,14510,0.3242,Normal,None,Normal
2026-06-09 14:00:29,192.168.1.49,75.246.117.215,38259,25,UDP,2128,1.7731,Normal,None,Normal
2026-06-09 14:00:50,192.168.1.43,153.142.254.42,58074,5432,TCP,8517,4.5719,Normal,None,Normal
2026-06-09 14:02:17,192.168.1.40,108.66.22.157,30599,443,UDP,3132,0.6555,Normal,None,Normal
2026-06-09 14:02:27,10.0.0.19,161.209.148.62,60483,110,UDP,10951,0.9441,Normal,None,Normal
2026-06-09 14:03:02,192.168.1.29,134.46.34.114,37322,80,UDP,12790,3.4792,Normal,None,Normal
2026-06-09 14:04:50,192.168.1.12,214.167.139.193,28819,25,UDP,11234,3.6236,Normal,None,Normal
2026-06-09 14:05:10,25.33.67.55,192.168.1.49,29693,342,TCP,59,0.004,Port Scan,Low,Attack
2026-06-09 14:06:56,10.0.0.23,89.176.230.191,57266,53,TCP,8484,2.7292,Normal,None,Normal
2026-06-09 14:09:35,175.103.245.200,192.168.1.38,45646,80,TCP,3381,0.0098,DDoS,Critical,Attack
2026-06-09 14:19:47,192.168.1.22,184.82.184.13,13156,22,UDP,6204,3.5209,Normal,None,Normal
2026-06-09 14:26:01,192.168.1.53,143.253.77.167,25777,22,UDP,3101,2.6541,Normal,None,Normal
2026-06-09 14:28:31,192.168.1.10,165.217.201.143,27644,5432,TCP,2187,1.3354,Normal,None,Normal
2026-06-09 14:29:09,79.15.41.166,192.168.1.12,21448,53,TCP,63876,0.0061,DDoS,Critical,Attack
2026-06-09 14:29:59,10.0.0.24,104.188.188.3,39918,143,UDP,1554,1.131,Normal,None,Normal
